category,bfs,municipality,provider,price
Typ III,199,Volketswil,Energie 360° AG,7.50
Typ III,2,Affoltern am Albis,WWZ Energie AG,9.55
Typ III,200,Wangen-Brüttisellen,"die werke,  versorgung wallisellen ag",7.39
Typ III,224,Pfungen,Gasversorgung Pfungen,6.65
Typ III,226,Schlatt (ZH),"SH Power, Schaffhausen",7.98
Typ III,230,Winterthur,Stadtwerk Winterthur,8.30
Typ III,242,Birmensdorf (ZH),Energie 360° AG,7.50
Typ III,243,Dietikon,"die werke, versorgung wallisellen ag",7.39
Typ III,243,Dietikon,"Stadt Dietikon,Infrastrukturabteilung",5.72
Typ III,244,Geroldswil,Energie 360° AG,7.50
Typ III,245,Oberengstringen,Energie 360° AG,7.50
Typ III,247,Schlieren,Gasversorgung Schlieren,7.90
Typ III,249,Unterengstringen,Energie 360° AG,7.50
Typ III,250,Urdorf,Energie 360° AG,7.50
Typ III,251,Weiningen (ZH),Energie 360° AG,7.50
Typ III,261,Zürich,Energie 360° AG,7.50
Typ III,27,Feuerthalen,"SH Power, Schaffhausen",7.98
Typ III,29,Flurlingen,"SH Power, Schaffhausen",8.38
Typ III,2919,Stetten (SH),"SH Power, Schaffhausen",7.98
Typ III,2920,Thayngen,"SH Power, Schaffhausen",7.98
Typ III,293,Wädenswil,Stadt Wädenswil Werke,7.44
Typ III,2932,Beringen,"SH Power, Schaffhausen",7.98
Typ III,2937,Neuhausen am Rheinfall,"SH Power, Schaffhausen",8.38
Typ III,2939,Schaffhausen,"SH Power, Schaffhausen",7.98
Typ III,2964,Stein am Rhein,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.27
Typ III,298,Wiesendangen,Energie 360° AG,7.50
Typ III,3,Bonstetten,Energie 360° AG,7.50
Typ III,4001,Aarau,Eniwa AG,9.30
Typ III,4003,Buchs (AG),Eniwa AG,9.30
Typ III,4005,Erlinsbach (AG),Eniwa AG,9.25
Typ III,4006,Gränichen,Eniwa AG,9.25
Typ III,4008,Küttigen,Eniwa AG,9.25
Typ III,4009,Muhen,Eniwa AG,9.25
Typ III,4010,Oberentfelden,Eniwa AG,9.25
Typ III,4012,Suhr,Eniwa AG,9.25
Typ III,4013,Unterentfelden,Eniwa AG,9.25
Typ III,4021,Baden,Regionalwerke AG Baden,9.38
Typ III,4024,Birmenstorf (AG),Regionalwerke AG Baden,9.38
Typ III,4026,Ennetbaden,Regionalwerke AG Baden,9.38
Typ III,4027,Fislisbach,Regionalwerke AG Baden,9.38
Typ III,4029,Gebenstorf,IBB Energie AG,9.18
Typ III,4030,Killwangen,Regionalwerke AG Baden,9.38
Typ III,4032,Mägenwil,IBB Energie AG,9.18
Typ III,4033,Mellingen,Regionalwerke AG Baden,9.38
Typ III,4034,Neuenhof,Regionalwerke AG Baden,9.38
Typ III,4038,Obersiggenthal,Regionalwerke AG Baden,9.38
Typ III,4040,Spreitenbach,Energie 360° AG,7.50
Typ III,4042,Turgi,IBB Energie AG,9.18
Typ III,4044,Untersiggenthal,IBB Energie AG,9.18
Typ III,4045,Wettingen,Regionalwerke AG Baden,9.18
Typ III,4046,Wohlenschwil,Regionalwerke AG Baden,9.38
Typ III,4064,Büttikon,IBW Energie AG,8.74
Typ III,4065,Dottikon,IBW Energie AG,8.74
Typ III,4080,Villmergen,IBW Energie AG,8.74
Typ III,4082,Wohlen (AG),IBW Energie AG,8.74
Typ III,4092,Birr,IBB Energie AG,9.18
Typ III,4093,Birrhard,Regionalwerke AG Baden,9.38
Typ III,4095,Brugg,IBB Energie AG,9.18
Typ III,4100,Hausen (AG),IBB Energie AG,9.18
Typ III,4104,Lupfig,IBB Energie AG,9.18
Typ III,4107,Mülligen,Regionalwerke AG Baden,9.38
Typ III,4123,Windisch,IBB Energie AG,9.18
Typ III,4144,Schöftland,Eniwa AG,9.25
Typ III,4145,Teufenthal (AG),Eniwa AG,9.25
Typ III,4146,Unterkulm,Eniwa AG,9.25
Typ III,4161,Eiken,IWB,8.86
Typ III,4163,Frick,IWB,9.01
Typ III,4165,Gipf-Oberfrick,IWB,9.01
Typ III,4169,Kaisten,IWB,8.86
Typ III,4175,Oeschgen,IWB,9.01
Typ III,4177,Sisseln,IWB,8.86
Typ III,4193,Brunegg,IBB Energie AG,9.18
Typ III,4194,Dintikon,IBW Energie AG,8.74
Typ III,4195,Egliswil,SWL Energie AG,10.17
Typ III,4197,Hallwil,SWL Energie AG,10.17
Typ III,4199,Holderbank (AG),IBB Energie AG,9.18
Typ III,4200,Hunzenschwil,SWL Energie AG,10.17
Typ III,4203,Möriken-Wildegg,SWL Energie AG,10.17
Typ III,4204,Niederlenz,SWL Energie AG,10.17
Typ III,4205,Othmarsingen,SWL Energie AG,10.17
Typ III,4206,Rupperswil,SWL Energie AG,10.17
Typ III,4207,Schafisheim,SWL Energie AG,10.17
Typ III,4208,Seengen,SWL Energie AG,10.17
Typ III,4209,Seon,SWL Energie AG,10.17
Typ III,4210,Staufen,SWL Energie AG,10.17
Typ III,4221,Abtwil,Sankt Galler Stadtwerke,8.55
Typ III,4228,Boswil,IBW Energie AG,8.74
Typ III,4240,Waltenschwil,IBW Energie AG,8.74
Typ III,4252,Kaiseraugst,IWB,9.01
Typ III,4254,Möhlin,IWB,9.01
Typ III,4258,Rheinfelden,IWB,9.01
Typ III,4261,Wallbach,IWB,9.01
Typ III,4271,Aarburg,StWZ Energie AG,8.51
Typ III,4274,Brittnau,StWZ Energie AG,8.51
Typ III,4275,Kirchleerau,Eniwa AG,9.25
Typ III,4276,Kölliken,Eniwa AG,9.25
Typ III,4277,Moosleerau,Eniwa AG,9.25
Typ III,4280,Oftringen,StWZ Energie AG,8.51
Typ III,4282,Rothrist,StWZ Energie AG,8.51
Typ III,4283,Safenwil,StWZ Energie AG,8.51
Typ III,4284,Staffelbach,Eniwa AG,9.25
Typ III,4285,Strengelbach,StWZ Energie AG,8.51
Typ III,4289,Zofingen,StWZ Energie AG,8.51
Typ III,4306,Fisibach,Energie 360° AG,7.50
Typ III,4315,Rekingen (AG),Energie 360° AG,7.50
Typ III,4323,Bad Zurzach,Energie 360° AG,7.50
Typ III,5,Hedingen,Energie 360° AG,7.50
Typ III,51,Bachenbülach,Energie 360° AG,7.50
Typ III,53,Bülach,Energie 360° AG,7.50
Typ III,62,Kloten,Industrielle Betriebe Kloten AG,9.52
Typ III,66,Opfikon,Energie 360° AG,7.50
Typ III,69,Wallisellen,"die werke,  versorgung wallisellen ag",7.39
Typ III,7,Knonau,WWZ Energie AG,9.55
Typ III,72,Winkel,Energie 360° AG,7.50
Typ III,83,Buchs (ZH),Energie 360° AG,7.50
Typ III,84,Dällikon,Energie 360° AG,7.50
Typ III,86,Dielsdorf,Energie 360° AG,7.50
Typ III,9,Mettmenstetten,WWZ Energie AG,9.55
Typ III,96,Regensdorf,Energie 360° AG,7.50
Typ III,97,Rümlang,Energie 360° AG,7.50
Typ III,2401,Egerkingen,Sogas AG,8.26
Typ III,2402,Härkingen,Sogas AG,8.26
Typ III,2403,Kestenholz,Sogas AG,8.26
Typ III,2404,Neuendorf,Sogas AG,8.26
Typ III,2405,Niederbuchsiten,Sogas AG,8.26
Typ III,2406,Oberbuchsiten,Sogas AG,8.26
Typ III,2407,Oensingen,Sogas AG,8.26
Typ III,2422,Balsthal,Sogas AG,8.26
Typ III,2473,Dornach,IWB,9.01
Typ III,2491,Hauenstein-Ifenthal,a.en Aare Energie AG,8.43
Typ III,2495,Niedergösgen,a.en Aare Energie AG,8.43
Typ III,2497,Obergösgen,a.en Aare Energie AG,8.43
Typ III,2500,Trimbach,a.en Aare Energie AG,8.43
Typ III,2503,Erlinsbach (SO),Eniwa AG,9.25
Typ III,2513,Biberist,Regio Energie Solothurn,7.50
Typ III,2516,Deitingen,Regio Energie Solothurn,7.50
Typ III,2517,Derendingen,Regio Energie Solothurn,7.50
Typ III,2518,Etziken,Regio Energie Solothurn,7.50
Typ III,2519,Gerlafingen,Regio Energie Solothurn,7.50
Typ III,2520,Halten,Regio Energie Solothurn,7.50
Typ III,2525,Kriegstetten,Regio Energie Solothurn,7.50
Typ III,2527,Luterbach,Regio Energie Solothurn,7.50
Typ III,2528,Obergerlafingen,Regio Energie Solothurn,7.50
Typ III,2530,Recherswil,Regio Energie Solothurn,7.50
Typ III,2532,Subingen,Regio Energie Solothurn,7.50
Typ III,2534,Zuchwil,Regio Energie Solothurn,7.50
Typ III,2542,Bellach,Regio Energie Solothurn,7.50
Typ III,2543,Bettlach,Städtische Werke Grenchen,7.92
Typ III,2544,Feldbrunnen-St.Niklaus,Regio Energie Solothurn,7.50
Typ III,2546,Grenchen,Städtische Werke Grenchen,7.92
Typ III,2550,Langendorf,Regio Energie Solothurn,7.50
Typ III,2553,Oberdorf (SO),Regio Energie Solothurn,7.50
Typ III,2555,Rüttenen,Regio Energie Solothurn,7.50
Typ III,2556,Selzach,Regio Energie Solothurn,7.50
Typ III,2571,Boningen,a.en Aare Energie AG,8.43
Typ III,2572,Däniken,a.en Aare Energie AG,8.43
Typ III,2573,Dulliken,a.en Aare Energie AG,8.43
Typ III,2576,Gretzenbach,a.en Aare Energie AG,8.43
Typ III,2578,Gunzgen,a.en Aare Energie AG,8.43
Typ III,2579,Hägendorf,a.en Aare Energie AG,8.43
Typ III,2580,Kappel (SO),a.en Aare Energie AG,8.43
Typ III,2581,Olten,a.en Aare Energie AG,8.43
Typ III,2582,Rickenbach (SO),a.en Aare Energie AG,8.43
Typ III,2583,Schönenwerd,a.en Aare Energie AG,8.43
Typ III,2584,Starrkirch-Wil,a.en Aare Energie AG,8.43
Typ III,2585,Walterswil (SO),StWZ Energie AG,8.51
Typ III,2586,Wangen bei Olten,a.en Aare Energie AG,8.43
Typ III,2601,Solothurn,Regio Energie Solothurn,7.50
Typ III,2701,Basel,IWB,8.96
Typ III,2702,Bettingen,IWB,8.96
Typ III,2703,Riehen,IWB,8.96
Typ III,2761,Aesch (BL),IWB,9.01
Typ III,2762,Allschwil,IWB,9.01
Typ III,2763,Arlesheim,IWB,9.01
Typ III,2765,Binningen,IWB,9.01
Typ III,2766,Birsfelden,IWB,9.01
Typ III,2767,Bottmingen,IWB,9.01
Typ III,2768,Ettingen,IWB,9.01
Typ III,2769,Münchenstein,IWB,9.01
Typ III,2770,Muttenz,IWB,9.01
Typ III,2771,Oberwil (BL),IWB,9.01
Typ III,2772,Pfeffingen,IWB,9.01
Typ III,2773,Reinach (BL),IWB,9.01
Typ III,2774,Schönenbuch,IWB,9.01
Typ III,2775,Therwil,IWB,9.01
Typ III,2785,Duggingen,IWB,8.86
Typ III,2822,Augst,IWB,9.01
Typ III,2824,Frenkendorf,IWB,9.01
Typ III,2825,Füllinsdorf,IWB,9.01
Typ III,2828,Lausen,IWB,9.01
Typ III,2829,Liestal,IWB,9.01
Typ III,2831,Pratteln,IWB,9.01
Typ III,2849,Itingen,IWB,8.86
Typ III,6708,Courrendlin,Régiogaz,8.69
Typ III,6709,Courroux,Régiogaz,8.69
Typ III,6710,Courtételle,Régiogaz,8.69
Typ III,6711,Delémont,Régiogaz,8.69
Typ III,6721,Rossemaison,Régiogaz,8.69
Typ IV,1630,Glarus Nord,Energie Zürichsee Linth AG,7.95
Typ IV,1630,Glarus Nord,Technische Betriebe Glarus Nord,9.34
Typ IV,1631,Glarus Süd,Technische Betriebe Glarus,10.56
Typ IV,1632,Glarus,Technische Betriebe Glarus,10.56
Typ IV,3001,Herisau,Säntis Energie AG,8.21
Typ IV,3007,Waldstatt,Säntis Energie AG,8.21
Typ IV,3022,Gais,GRAVAG Erdgas AG,8.40
Typ IV,3031,Grub (AR),GRAVAG Erdgas AG,8.40
Typ IV,3031,Grub (AR),GRAVAG Erdgas AG,8.40
Typ IV,3032,Heiden,GRAVAG Erdgas AG,8.40
Typ IV,3033,Lutzenberg,GRAVAG Erdgas AG,8.40
Typ IV,3034,Rehetobel,GRAVAG Erdgas AG,8.40
Typ IV,3035,Reute (AR),GRAVAG Erdgas AG,8.40
Typ IV,3036,Wald (AR),GRAVAG Erdgas AG,8.40
Typ IV,3037,Walzenhausen,GRAVAG Erdgas AG,8.40
Typ IV,3038,Wolfhalden,GRAVAG Erdgas AG,8.40
Typ IV,3101,Appenzell,GRAVAG Erdgas AG,8.40
Typ IV,3111,Oberegg,GRAVAG Erdgas AG,8.40
Typ IV,3203,St.Gallen,Sankt Galler Stadtwerke,8.29
Typ IV,3204,Wittenbach,Sankt Galler Stadtwerke,8.29
Typ IV,3212,Eggersriet,GRAVAG Erdgas AG,8.40
Typ IV,3213,Goldach,GRAVAG Erdgas AG,8.40
Typ IV,3213,Goldach,Technische Betriebe GoldachErdgasversorgung,8.15
Typ IV,3214,Mörschwil,Sankt Galler Stadtwerke,8.29
Typ IV,3215,Rorschach,GRAVAG Erdgas AG,8.40
Typ IV,3215,Rorschach,Sankt Galler Stadtwerke,8.29
Typ IV,3216,Rorschacherberg,GRAVAG Erdgas AG,8.40
Typ IV,3217,Steinach,Sankt Galler Stadtwerke,8.29
Typ IV,3231,Au (SG),GRAVAG Erdgas AG,8.40
Typ IV,3232,Balgach,GRAVAG Erdgas AG,8.40
Typ IV,3233,Berneck,GRAVAG Erdgas AG,8.40
Typ IV,3234,Diepoldsau,GRAVAG Erdgas AG,8.40
Typ IV,3235,Rheineck,GRAVAG Erdgas AG,8.40
Typ IV,3236,St.Margrethen,GRAVAG Erdgas AG,8.40
Typ IV,3236,St.Margrethen,Technische Betriebe Wil,6.61
Typ IV,3237,Thal,GRAVAG Erdgas AG,8.40
Typ IV,3238,Widnau,GRAVAG Erdgas AG,8.40
Typ IV,3251,Altstätten,GRAVAG Erdgas AG,8.40
Typ IV,3252,Eichberg,GRAVAG Erdgas AG,8.40
Typ IV,3253,Marbach (SG),GRAVAG Erdgas AG,8.40
Typ IV,3254,Oberriet (SG),GRAVAG Erdgas AG,8.40
Typ IV,3255,Rebstein,GRAVAG Erdgas AG,8.40
Typ IV,3271,Buchs (SG),Säntis Energie AG,8.21
Typ IV,3272,Gams,GRAVAG Erdgas AG,8.40
Typ IV,3273,Grabs,GRAVAG Erdgas AG,8.40
Typ IV,3274,Sennwald,GRAVAG Erdgas AG,8.40
Typ IV,3275,Sevelen,Säntis Energie AG,8.21
Typ IV,3276,Wartau,Säntis Energie AG,8.21
Typ IV,3291,Bad Ragaz,EVS Erdgasversorgung Sarganserland AG,8.16
Typ IV,3292,Flums,EVS Erdgasversorgung Sarganserland AG,8.16
Typ IV,3293,Mels,EVS Erdgasversorgung Sarganserland AG,8.16
Typ IV,3296,Sargans,EVS Erdgasversorgung Sarganserland AG,8.16
Typ IV,3297,Vilters-Wangs,EVS Erdgasversorgung Sarganserland AG,8.16
Typ IV,3312,Benken (SG),Energie Zürichsee Linth AG,7.95
Typ IV,3313,Kaltbrunn,EVK Elektrizitätsversorgung Kaltbrunn AG,9.18
Typ IV,3315,Schänis,Energieversorgung Schänis AG,9.05
Typ IV,3338,Schmerikon,Energie Zürichsee Linth AG,7.95
Typ IV,3339,Uznach,Energie Zürichsee Linth AG,7.95
Typ IV,3340,Rapperswil-Jona,Energie Zürichsee Linth AG,7.95
Typ IV,3342,Eschenbach (SG),Energie Zürichsee Linth AG,7.95
Typ IV,3352,Ebnat-Kappel,Säntis Energie AG,8.21
Typ IV,3374,Lichtensteig,Säntis Energie AG,8.21
Typ IV,3379,Wattwil,Säntis Energie AG,8.21
Typ IV,3392,Kirchberg (SG),Technische Betriebe Wil,6.61
Typ IV,3393,Lütisburg,Säntis Energie AG,8.21
Typ IV,3395,Bütschwil-Ganterschwil,Säntis Energie AG,8.21
Typ IV,3401,Degersheim,Technische Betriebe Flawil,8.07
Typ IV,3402,Flawil,Technische Betriebe Flawil,8.07
Typ IV,3405,Jonschwil,Dorfkorporation Schwarzenbach,6.96
Typ IV,3407,Oberuzwil,Technische Betriebe Uzwil,7.56
Typ IV,3408,Uzwil,Technische Betriebe Uzwil,7.56
Typ IV,3423,Niederhelfenschwil,Technische Betriebe Wil,6.61
Typ IV,3424,Oberbüren,Technische Betriebe Uzwil,7.56
Typ IV,3426,Zuzwil (SG),Technische Betriebe Wil,6.61
Typ IV,3427,Wil (SG),Technische Betriebe Wil,6.61
Typ IV,3443,Gossau (SG),Stadtwerke Gossau,8.22
Typ IV,4401,Arbon,Gasversorgung Romanshorn AG,8.14
Typ IV,4401,Arbon,Sankt Galler Stadtwerke,8.29
Typ IV,4411,Egnach,Gasversorgung Neukirch-Egnach,8.44
Typ IV,4416,Hefenhofen,Gasversorgung Romanshorn AG,8.14
Typ IV,4421,Horn,Sankt Galler Stadtwerke,8.29
Typ IV,4431,Roggwil (TG),Gasversorgung Romanshorn AG,8.14
Typ IV,4436,Romanshorn,Gasversorgung Romanshorn AG,8.14
Typ IV,4441,Salmsach,Gasversorgung Salmsach,7.40
Typ IV,4461,Amriswil,Regio Energie Amriswil,8.80
Typ IV,4471,Bischofszell,Gasversorgung Romanshorn AG,8.14
Typ IV,4471,Bischofszell,Sankt Galler Stadtwerke,8.29
Typ IV,4476,Erlen,Technische Betriebe Weinfelden AG,7.08
Typ IV,4486,Hauptwil-Gottshaus,Technische Gemeindebetriebe Hauptwil-Gottshaus,5.75
Typ IV,4501,Kradolf-Schönenberg,Technische Betriebe Weinfelden AG,7.08
Typ IV,4506,Sulgen,Technische Betriebe Weinfelden AG,7.08
Typ IV,4511,Zihlschlacht-Sitterdorf,Gasversorgung Romanshorn AG,8.14
Typ IV,4551,Aadorf,Technische Betriebe Wil,6.61
Typ IV,4566,Frauenfeld,"Werkbetriebe Frauenfeld,  Erdgas, Wasser, Strom",6.54
Typ IV,4591,Matzingen,Werkbetriebe Matzingen,6.18
Typ IV,4606,Stettfurt,Gasversorgung Stettfurt,5.82
Typ IV,4641,Altnau,Erdgasversorgung Altnau,6.32
Typ IV,4643,Bottighofen,Gasversorgung der PG Bottighofen,5.60
Typ IV,4646,Ermatingen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4651,Gottlieben,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4656,Güttingen,Gasversorgung der PG Güttingen,6.46
Typ IV,4671,Kreuzlingen,"Technische Betriebe Kreuzlingen, Elektrizität Erdgas Wasser",7.90
Typ IV,4683,Lengwil,"Technische Betriebe Kreuzlingen, Elektrizität Erdgas Wasser",7.90
Typ IV,4691,Münsterlingen,Gasversorgung  Münsterlingen,5.10
Typ IV,4696,Tägerwilen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4701,Wäldi,Technische Betriebe Weinfelden AG,7.08
Typ IV,4711,Affeltrangen,Technische Betriebe Weinfelden AG,7.08
Typ IV,4716,Bettwiesen,Technische Betriebe Wil,6.61
Typ IV,4724,Eschlikon,Technische Betriebe Wil,6.61
Typ IV,4746,Münchwilen (TG),Technische Betriebe Wil,6.61
Typ IV,4751,Rickenbach (TG),Technische Betriebe Wil,6.61
Typ IV,4761,Sirnach,Technische Betriebe Wil,6.61
Typ IV,4776,Tobel-Tägerschen,Technische Betriebe Wil,6.61
Typ IV,4781,Wängi,Technische Betriebe Wil,6.61
Typ IV,4786,Wilen (TG),Technische Betriebe Wil,6.61
Typ IV,4801,Berlingen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4806,Eschenz,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4821,Hüttwilen,Gaswerk Hüttwilen,6.54
Typ IV,4826,Mammern,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4831,Müllheim,Technische Betriebe Weinfelden AG,7.08
Typ IV,4841,Pfyn,Technische Betriebe Weinfelden AG,7.08
Typ IV,4851,Salenstein,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4864,Steckborn,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,6.99
Typ IV,4891,Berg (TG),Technische Betriebe Weinfelden AG,7.08
Typ IV,4911,Bürglen (TG),Technische Betriebe Weinfelden AG,7.08
Typ IV,4921,Bussnang,Technische Betriebe Weinfelden AG,7.08
Typ IV,4941,Märstetten,Technische Betriebe Weinfelden AG,7.08
Typ IV,4946,Weinfelden,Technische Betriebe Weinfelden AG,7.08
Typ IV,4951,Wigoltingen,Technische Betriebe Weinfelden AG,7.08
Typ IV,2009,Cheiry,Energiapro SA,10.79
Typ IV,2027,Ménières,Energiapro SA,10.79
Typ IV,2038,Prévondavaux,Energiapro SA,10.79
Typ IV,2041,Saint-Aubin (FR),Groupe E Celsius,8.00
Typ IV,2043,Sévaz,Groupe E Celsius,8.00
Typ IV,2044,Surpierre,Energiapro SA,10.79
Typ IV,2053,Belmont-Broye,Groupe E Celsius,8.00
Typ IV,2054,Estavayer,Groupe E Celsius,8.00
Typ IV,2055,Cheyres-Châbles,Energiapro SA,10.79
Typ IV,2061,Auboranges,Energiapro SA,10.79
Typ IV,2063,Billens-Hennens,Groupe E Celsius,8.00
Typ IV,2068,Châtonnaye,Energiapro SA,10.79
Typ IV,2087,Mézières (FR),Groupe E Celsius,8.00
Typ IV,2096,Romont (FR),Groupe E Celsius,8.00
Typ IV,2102,Ursy,Energiapro SA,10.79
Typ IV,2113,Vuisternens-devant-Romont,Groupe E Celsius,8.00
Typ IV,2115,Torny,Energiapro SA,10.79
Typ IV,2117,Villaz,Energiapro SA,10.79
Typ IV,2125,Bulle (neu),Groupe E Celsius,8.00
Typ IV,2153,Sorens,Groupe E Celsius,8.00
Typ IV,2155,Vaulruz,Groupe E Celsius,8.00
Typ IV,2160,Vuadens,Groupe E Celsius,8.00
Typ IV,2174,Avry,Groupe E Celsius,8.00
Typ IV,2175,Belfaux,Groupe E Celsius,8.00
Typ IV,2183,Corminboeuf,Groupe E Celsius,8.00
Typ IV,2196,Fribourg,Groupe E Celsius,8.00
Typ IV,2197,Givisiez,Groupe E Celsius,8.00
Typ IV,2198,Granges-Paccot,Groupe E Celsius,8.00
Typ IV,2206,Marly,Groupe E Celsius,8.00
Typ IV,2208,Matran,Groupe E Celsius,8.00
Typ IV,2228,Villars-sur-Glâne,Groupe E Celsius,8.00
Typ IV,2233,Hauterive (FR),Groupe E Celsius,8.00
Typ IV,2235,La Sonnaz,Groupe E Celsius,8.00
Typ IV,2250,Courgevaux,Groupe E Celsius,8.00
Typ IV,2254,Courtepin,Groupe E Celsius,8.00
Typ IV,2274,Muntelier,Groupe E Celsius,8.00
Typ IV,2275,Murten,Groupe E Celsius,8.00
Typ IV,2276,Ried bei Kerzers (neu),Groupe E Celsius,8.00
Typ IV,2293,Düdingen,Groupe E Celsius,8.00
Typ IV,2306,Tafers,Groupe E Celsius,8.00
Typ IV,2321,Attalens,Energiapro SA,10.79
Typ IV,2323,Bossonnens,Energiapro SA,10.79
Typ IV,2325,Châtel-Saint-Denis,Energiapro SA,10.79
Typ IV,2328,Granges (Veveyse),Energiapro SA,10.79
Typ IV,2333,Remaufens,Energiapro SA,10.79
Typ IV,2338,La Verrerie,Groupe E Celsius,8.00
Typ IV,5401,Aigle,Energiapro SA,10.79
Typ IV,5402,Bex,Energiapro SA,10.79
Typ IV,5403,Chessel,Energiapro SA,10.79
Typ IV,5404,Corbeyrier,Energiapro SA,10.79
Typ IV,5405,Gryon,Energiapro SA,10.79
Typ IV,5406,Lavey-Morcles,Energiapro SA,10.79
Typ IV,5407,Leysin,Energiapro SA,10.79
Typ IV,5408,Noville,Energiapro SA,10.79
Typ IV,5409,Ollon,Energiapro SA,10.79
Typ IV,5412,Rennaz,Energiapro SA,10.79
Typ IV,5413,Roche (VD),Energiapro SA,10.79
Typ IV,5414,Villeneuve (VD),Energiapro SA,10.79
Typ IV,5415,Yvorne,Energiapro SA,10.79
Typ IV,5421,Apples,Energiapro SA,10.79
Typ IV,5422,Aubonne,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5423,Ballens,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5425,Bière,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5427,Féchy,Services industriels Lausanne,9.59
Typ IV,5428,Gimel,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5431,Mollens (VD),"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5432,Montherod,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5435,Saint-Livres,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5437,Saubraz,"Commune d""Aubonne, Services Industriels",7.75
Typ IV,5451,Avenches,Groupe E Celsius,8.00
Typ IV,5458,Faoug,Groupe E Celsius,8.00
Typ IV,5471,Bettens,Energiapro SA,10.79
Typ IV,5472,Bournens,Energiapro SA,10.79
Typ IV,5473,Boussens,Energiapro SA,10.79
Typ IV,5474,La Chaux (Cossonay),Energiapro SA,10.79
Typ IV,5475,Chavannes-le-Veyron,Energiapro SA,10.79
Typ IV,5477,Cossonay,Energiapro SA,10.79
Typ IV,5478,Cottens (VD),Energiapro SA,10.79
Typ IV,5479,Cuarnens,Energiapro SA,10.79
Typ IV,5480,Daillens,Energiapro SA,10.79
Typ IV,5481,Dizy,Energiapro SA,10.79
Typ IV,5482,Eclépens,Energiapro SA,10.79
Typ IV,5483,Ferreyres,Energiapro SA,10.79
Typ IV,5484,Gollion,Energiapro SA,10.79
Typ IV,5485,Grancy,Energiapro SA,10.79
Typ IV,5487,Lussery-Villars,Energiapro SA,10.79
Typ IV,5488,Mauraz,Energiapro SA,10.79
Typ IV,5489,Mex (VD),Energiapro SA,10.79
Typ IV,5492,Montricher,Energiapro SA,10.79
Typ IV,5493,Orny,Energiapro SA,10.79
Typ IV,5494,Pampigny,Energiapro SA,10.79
Typ IV,5495,Penthalaz,Energiapro SA,10.79
Typ IV,5496,Penthaz,Energiapro SA,10.79
Typ IV,5498,La Sarraz,Energiapro SA,10.79
Typ IV,5499,Senarclens,Energiapro SA,10.79
Typ IV,5500,Sévery,Energiapro SA,10.79
Typ IV,5501,Sullens,Energiapro SA,10.79
Typ IV,5503,Vufflens-la-Ville,Energiapro SA,10.79
Typ IV,5511,Assens,Energiapro SA,10.79
Typ IV,5512,Bercher,Energiapro SA,10.79
Typ IV,5513,Bioley-Orjulaz,Energiapro SA,10.79
Typ IV,5514,Bottens,Energiapro SA,10.79
Typ IV,5515,Bretigny-sur-Morrens,Services industriels Lausanne,9.59
Typ IV,5516,Cugy (VD),Services industriels Lausanne,9.59
Typ IV,5518,Echallens,Energiapro SA,10.79
Typ IV,5521,Etagnières,Energiapro SA,10.79
Typ IV,5523,Froideville,Energiapro SA,10.79
Typ IV,5527,Morrens (VD),Services industriels Lausanne,9.59
Typ IV,5530,Pailly,Energiapro SA,10.79
Typ IV,5534,Rueyres,Energiapro SA,10.79
Typ IV,5535,Saint-Barthélemy (VD),Energiapro SA,10.79
Typ IV,5537,Villars-le-Terroir,Energiapro SA,10.79
Typ IV,5539,Vuarrens,Energiapro SA,10.79
Typ IV,5540,Montilliez,Energiapro SA,10.79
Typ IV,5541,Goumoëns,Energiapro SA,10.79
Typ IV,5561,Grandson,Service des Energies,8.82
Typ IV,5568,Sainte-Croix,"Commune de Sainte-Croix,  Service technique",8.84
Typ IV,5581,Belmont-sur-Lausanne,Energiapro SA,10.79
Typ IV,5582,Cheseaux-sur-Lausanne,Services industriels Lausanne,9.59
Typ IV,5583,Crissier,Services industriels Lausanne,9.59
Typ IV,5584,Epalinges,Services industriels Lausanne,9.59
Typ IV,5585,Jouxtens-Mézery,Services industriels Lausanne,9.59
Typ IV,5586,Lausanne,Services industriels Lausanne,9.59
Typ IV,5587,Le Mont-sur-Lausanne,Services industriels Lausanne,9.59
Typ IV,5588,Paudex,Services industriels Lausanne,9.59
Typ IV,5589,Prilly,Services industriels Lausanne,9.59
