category,bfs,municipality,provider,price
Typ II,4591,Matzingen,Werkbetriebe Matzingen,6.90
Typ II,4606,Stettfurt,Gasversorgung Stettfurt,6.30
Typ II,4641,Altnau,Erdgasversorgung Altnau,6.80
Typ II,4643,Bottighofen,Gasversorgung der PG Bottighofen,6.80
Typ II,4646,Ermatingen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4651,Gottlieben,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4656,Güttingen,Gasversorgung der PG Güttingen,7.13
Typ II,4671,Kreuzlingen,"Technische Betriebe Kreuzlingen, Elektrizität Erdgas Wasser",9.04
Typ II,4683,Lengwil,"Technische Betriebe Kreuzlingen, Elektrizität Erdgas Wasser",9.04
Typ II,4691,Münsterlingen,Gasversorgung  Münsterlingen,6.20
Typ II,4696,Tägerwilen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4701,Wäldi,Technische Betriebe Weinfelden AG,8.04
Typ II,4711,Affeltrangen,Technische Betriebe Weinfelden AG,8.04
Typ II,4716,Bettwiesen,Technische Betriebe Wil,6.90
Typ II,4724,Eschlikon,Technische Betriebe Wil,6.90
Typ II,4746,Münchwilen (TG),Technische Betriebe Wil,6.90
Typ II,4751,Rickenbach (TG),Technische Betriebe Wil,6.90
Typ II,4761,Sirnach,Technische Betriebe Wil,6.90
Typ II,4776,Tobel-Tägerschen,Technische Betriebe Wil,6.90
Typ II,4781,Wängi,Technische Betriebe Wil,6.90
Typ II,4786,Wilen (TG),Technische Betriebe Wil,6.90
Typ II,4801,Berlingen,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4806,Eschenz,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4821,Hüttwilen,Gaswerk Hüttwilen,7.50
Typ II,4826,Mammern,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4831,Müllheim,Technische Betriebe Weinfelden AG,8.04
Typ II,4841,Pfyn,Technische Betriebe Weinfelden AG,8.04
Typ II,4851,Salenstein,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4864,Steckborn,Stadtwerke Konstanz GmbH  Abt. Gasversorgung,7.74
Typ II,4891,Berg (TG),Technische Betriebe Weinfelden AG,8.04
Typ II,4911,Bürglen (TG),Technische Betriebe Weinfelden AG,8.04
Typ II,4921,Bussnang,Technische Betriebe Weinfelden AG,8.04
Typ II,4941,Märstetten,Technische Betriebe Weinfelden AG,8.04
Typ II,4946,Weinfelden,Technische Betriebe Weinfelden AG,8.04
Typ II,4951,Wigoltingen,Technische Betriebe Weinfelden AG,8.04
Typ II,2009,Cheiry,Energiapro SA,11.67
Typ II,2027,Ménières,Energiapro SA,11.67
Typ II,2038,Prévondavaux,Energiapro SA,11.67
Typ II,2041,Saint-Aubin (FR),Groupe E Celsius,8.06
Typ II,2043,Sévaz,Groupe E Celsius,8.06
Typ II,2044,Surpierre,Energiapro SA,11.67
Typ II,2053,Belmont-Broye,Groupe E Celsius,8.06
Typ II,2054,Estavayer,Groupe E Celsius,8.06
Typ II,2055,Cheyres-Châbles,Energiapro SA,11.67
Typ II,2061,Auboranges,Energiapro SA,11.67
Typ II,2063,Billens-Hennens,Groupe E Celsius,8.06
Typ II,2068,Châtonnaye,Energiapro SA,11.67
Typ II,2087,Mézières (FR),Groupe E Celsius,8.06
Typ II,2096,Romont (FR),Groupe E Celsius,8.06
Typ II,2102,Ursy,Energiapro SA,11.67
Typ II,2113,Vuisternens-devant-Romont,Groupe E Celsius,8.06
Typ II,2115,Torny,Energiapro SA,11.67
Typ II,2117,Villaz,Energiapro SA,11.67
Typ II,2125,Bulle (neu),Groupe E Celsius,8.06
Typ II,2153,Sorens,Groupe E Celsius,8.06
Typ II,2155,Vaulruz,Groupe E Celsius,8.06
Typ II,2160,Vuadens,Groupe E Celsius,8.06
Typ II,2174,Avry,Groupe E Celsius,8.06
Typ II,2175,Belfaux,Groupe E Celsius,8.06
Typ II,2183,Corminboeuf,Groupe E Celsius,8.06
